time_s,V_sim,T_seven_C,T_MEA_C,ice_volume_max,ice_saturation_max,liquid_saturation_max,lambda_aCL,lambda_PEM,lambda_cCL,lambda_oversat_CL,CL_frozen_ion_water,gas_porosity_min,V_Erev,V_act,V_ohm,V_con,R_aCL,R_PEM,R_cCL,jlim_H,jlim_O,reaction_weight_max,nucleation_progress,V_exp,T_exp_C,water_residual,energy_residual
13.8,0.367719291537653,-23.5596228203443,-23.3561916516185,0.0428140989419964,0.101768716287132,0,2.06148342902549,3.05873050301808,6.6128202987261,0.859984433507825,0.000159646543154991,0.377885901058004,1.26161157071552,0.757156190691574,0.136705866066888,3.02224194056983e-05,2.08089575820695e-05,2.39309408951125e-05,2.1285793138137e-05,3399931.81326734,364347.915950729,1.14558265330677,1,0.487,-23.7363164314894,-9.80032366566276e-16,-2.76951794830893e-09
14,0.36662865903891,-23.4871373315259,-23.2820986248166,0.0460415544150881,0.109440348027307,0,2.05065383761693,3.05740661749324,6.64050677861646,0.862998756900324,0.000178194418234468,0.374658445584912,1.26154532218868,0.757790586054027,0.137095619769174,3.04573265675116e-05,2.09149247702249e-05,2.39230185078058e-05,2.09465788924831e-05,3400694.58143285,363994.667669763,1.16019199773275,1,0.493,-23.675764553626,-9.7974437536421e-16,-2.73461608912839e-09
14.2,0.367917393008792,-23.4150221771366,-23.211269837562,0.0492021193926817,0.116952981679776,0,2.04437257716599,3.05665188400927,6.66144745695829,0.859251091962294,0.000197261227874082,0.371497880607318,1.26148326380738,0.757876568214928,0.135659004600818,3.02979828378027e-05,2.09683456042104e-05,2.39092734712831e-05,2.06348055103446e-05,3401413.9694903,363652.364399143,1.17485661071352,1,0.498,-23.6157234077732,-9.1856996184761e-16,-1.9180159682719e-09
14.4,0.367241809363564,-23.3430171308145,-23.1383037822996,0.0522745999924258,0.124256239582662,0,2.04044104061819,3.05658588654272,6.67840242629417,0.851224338119781,0.000216655315519053,0.368425400007574,1.26141839069714,0.758431143271683,0.135714953595477,3.04844664152489e-05,2.09924846480746e-05,2.38845537958708e-05,2.0341368865925e-05,3402160.49727343,363294.90387521,1.18942008161322,1,0.504,-23.5562817267264,-8.59318313121277e-16,-1.40436284823409e-09
14.6,0.368329483718813,-23.2713537595876,-23.0676866445319,0.055256230416696,0.131343547460651,0,2.03839130661971,3.05715299492161,6.69283250404367,0.841705206425734,0.000236306625103499,0.365443769583304,1.26135645453769,0.75856504902243,0.13443154764287,3.03741535786694e-05,2.09921269679861e-05,2.38533583385481e-05,2.00651278581741e-05,3402877.48404979,362950.585077358,1.20383329253385,1,0.509,-23.4972907226152,-6.35702462079089e-16,8.42045722038165e-09
14.8,0.368312180128469,-23.1999540500552,-22.9960573839053,0.058142766155126,0.138204816151952,0,2.03778209259261,3.05841667273869,6.70510674159033,0.830561072802034,0.000256135606057163,0.362557233844874,1.2612930947703,0.758960676690854,0.133989776292388,3.04616585928877e-05,2.09727435722828e-05,2.38127932675459e-05,1.9802350424458e-05,3403607.69339681,362600.113935778,1.21805392305852,1,0.513,-23.4388364561636,9.47711283364946e-17,8.66521432385525e-09
15,0.368025311692134,-23.1285297472778,-22.9239807344953,0.0609382317095101,0.144849611860019,0,2.03720832631643,3.06020338618415,6.7172355830896,0.820453140700494,0.000276137072466429,0.35976176829049,1.26122913483135,0.759412788423819,0.133760435893216,3.0598822182314e-05,2.09505590013722e-05,2.37659126076907e-05,1.95482821359364e-05,3404344.43977558,362250.073561476,1.23211263612218,1,0.518,-23.3805827491521,5.30777949803857e-16,8.57278692478758e-09
15.2,0.369478954129604,-23.0576030250422,-22.8545048321444,0.0636479879347149,0.151290677287176,0,2.03837710161702,3.0625928551713,6.72739671223134,0.809518051321964,0.000296290565553754,0.357052012065285,1.26116840009619,0.759444942999952,0.132214065143834,3.04378228031098e-05,2.09067582491557e-05,2.37140441206883e-05,1.93076607396889e-05,3405047.87931302,361914.170155817,1.24600420756267,1,0.522,-23.3228196350011,5.0105048148702e-16,9.68022284553172e-09
15.4,0.369550150596018,-22.9869967669372,-22.783735044429,0.0662698575155135,0.157522836975311,0,2.04050214111595,3.06562524854789,6.73651564996137,0.797590084220998,0.000316508730857436,0.354430142484487,1.26110584859666,0.75980781685361,0.131717356253361,3.05248936734777e-05,2.08505108456008e-05,2.36539239500726e-05,1.90754340469939e-05,3405768.39179375,361571.539634799,1.25967035092987,1,0.526,-23.2655894165557,6.02967179766552e-16,5.39595035320417e-09
15.6,0.369350805411428,-22.9163753090937,-22.7124994356275,0.0688096364612653,0.163559867984943,0,2.04213438750521,3.06910178935234,6.74693934919571,0.78734380071881,0.000336792986637292,0.351890363538735,1.26104265868994,0.760226615871572,0.131434575738904,3.06616680324543e-05,2.07982537551859e-05,2.358902180082e-05,1.88460735551037e-05,3406495.96753199,361230.956385218,1.27312810643906,1,0.53,-23.2085088864539,5.87155615740156e-16,6.01931127164335e-09
